boeing	98.48	53.00	107.92	109.33	27.42	4.04	3369.84
boeing	125.73	69.00	101.66	102.85	27.80	4.12	2987.80
boeing	112.02	61.00	71.05	.	18.59	4.43	1144.92
boeing	196.83	56.00	85.81	.	30.74	3.88	1664.22
boeing	90.10	70.00	59.89	.	32.40	4.03	1050.26
boeing	137.60	55.00	75.01	.	41.21	4.20	1627.07
boeing	73.02	54.00	54.43	.	24.04	3.84	805.30
boeing	52.90	57.00	57.10	.	19.39	4.64	573.62
boeing	155.52	61.00	85.44	.	35.38	4.23	1698.99
boeing	176.86	56.00	61.80	.	36.75	4.18	1137.75
boeing	158.46	61.00	53.78	.	46.36	5.56	1075.37
boeing	180.62	54.00	141.22	141.72	23.58	5.22	6533.05
boeing	72.29	54.00	93.39	92.87	32.22	3.82	2128.71
boeing	187.60	58.00	94.04	96.20	33.66	4.64	2304.86
boeing	154.37	63.00	63.54	.	26.40	3.86	1089.97
boeing	165.54	69.00	48.77	.	31.23	3.90	943.07
boeing	153.55	61.00	83.56	.	29.90	3.52	1793.56
boeing	107.11	78.00	86.81	.	25.48	4.41	1910.88
boeing	233.80	69.00	104.81	103.87	43.88	3.25	3213.99
boeing	163.91	55.00	119.38	120.44	38.56	3.70	4524.28
boeing	97.48	63.00	73.53	.	29.15	4.01	1332.04
boeing	118.63	55.00	79.99	.	29.37	4.41	1515.97
boeing	126.54	70.00	94.78	91.14	39.48	3.59	2182.22
boeing	179.92	66.00	63.67	.	19.57	4.29	873.44
boeing	112.90	53.00	98.18	99.14	28.15	3.99	2586.67
boeing	56.64	66.00	72.95	.	36.15	4.39	1205.13
boeing	86.83	62.00	91.71	92.87	28.77	3.31	2313.34
boeing	157.36	57.00	72.33	.	26.22	4.22	1105.37
boeing	186.68	49.00	66.42	.	44.69	4.11	1176.03
boeing	140.24	65.00	118.74	119.40	19.86	4.65	4217.13
boeing	130.46	52.00	116.71	117.66	36.20	3.89	4240.09
boeing	142.16	46.00	39.77	.	39.66	4.60	1030.46
boeing	155.85	62.00	79.75	.	23.84	3.40	1322.21
boeing	124.94	44.00	72.55	.	42.86	4.03	1321.16
boeing	98.70	71.00	69.75	.	50.62	3.91	1426.48
boeing	93.53	61.00	90.33	90.11	42.41	4.42	2259.84
boeing	228.18	78.00	61.22	.	21.77	4.60	970.05
boeing	201.37	71.00	41.46	.	28.54	4.60	763.70
boeing	155.93	71.00	72.00	.	35.38	3.64	1227.90
boeing	202.55	65.00	93.62	95.32	18.59	4.16	1987.82
boeing	155.63	66.00	64.95	.	27.06	4.44	920.29
boeing	194.67	63.00	95.73	97.19	47.59	3.73	2526.47
boeing	80.00	64.00	100.17	100.26	48.60	5.06	2771.13
boeing	136.98	60.00	59.09	.	23.94	3.23	987.56
boeing	124.66	61.00	76.53	.	20.24	3.94	1379.26
boeing	119.71	63.00	67.97	.	27.86	3.69	1237.47
boeing	121.11	63.00	101.05	101.72	40.04	3.90	2830.44
boeing	118.26	75.00	70.17	.	17.74	4.27	830.71
boeing	122.19	65.00	70.26	.	19.98	4.23	1160.87
boeing	204.45	66.00	80.73	.	46.84	4.41	1995.41
boeing	176.37	71.00	62.22	.	43.94	5.32	825.52
boeing	112.47	60.00	63.24	.	29.62	5.23	832.52
boeing	196.28	67.00	78.66	.	46.59	4.15	1768.47
boeing	176.85	62.00	54.58	.	19.86	3.15	669.12
boeing	247.22	57.00	73.31	.	20.34	3.88	1217.32
boeing	211.17	59.00	61.53	.	15.39	3.71	751.99
boeing	116.98	67.00	122.76	123.88	30.22	3.21	4807.88
boeing	153.66	53.00	79.41	.	14.45	3.25	1240.28
boeing	150.84	59.00	56.44	.	20.78	3.73	731.33
boeing	283.76	62.00	58.89	.	4.26	4.77	425.86
boeing	183.30	56.00	60.23	.	36.49	4.47	914.22
boeing	154.06	63.00	94.63	93.94	41.42	4.76	2342.77
boeing	135.17	57.00	85.58	.	42.13	3.33	2123.80
boeing	107.12	60.00	93.90	93.19	26.47	3.85	2157.42
boeing	126.95	49.00	84.59	.	37.08	3.34	1814.79
boeing	161.89	72.00	129.26	128.42	33.95	4.14	5381.96
boeing	196.46	52.00	81.53	.	22.41	3.70	1587.39
boeing	130.95	76.00	44.73	.	32.78	4.86	874.80
boeing	70.97	61.00	80.37	.	43.52	4.06	1812.43
boeing	130.49	68.00	94.38	92.15	19.57	4.64	1995.37
boeing	152.73	54.00	83.66	.	25.68	4.45	1470.78
boeing	270.60	55.00	63.19	.	20.80	4.01	829.08
boeing	97.76	49.00	66.19	.	47.72	3.62	1595.13
boeing	175.08	64.00	52.49	.	-3.55	4.21	581.38
boeing	130.42	60.00	111.89	110.20	10.26	4.51	3164.47
boeing	139.21	72.00	49.51	.	30.86	4.25	827.42
boeing	165.89	60.00	49.17	.	28.21	3.89	662.17
boeing	83.52	44.00	95.07	96.08	17.38	3.20	2183.80
boeing	180.14	65.00	91.00	91.59	17.64	4.41	1838.57
boeing	79.47	58.00	51.84	.	18.99	4.83	676.19
boeing	218.02	61.00	98.21	96.03	24.53	4.38	2149.56
boeing	71.57	52.00	46.97	.	48.84	3.73	1136.01
boeing	146.39	47.00	90.35	.	14.11	4.04	1593.06
boeing	133.56	72.00	94.27	92.88	33.05	3.79	2351.07
boeing	209.28	67.00	76.53	.	30.60	4.24	1236.38
boeing	161.11	57.00	47.88	.	28.04	4.69	745.65
boeing	162.45	49.00	57.65	.	30.31	3.93	981.89
boeing	88.95	64.00	71.35	.	38.43	4.31	1215.69
boeing	221.52	54.00	73.47	.	42.14	3.47	1526.56
boeing	156.81	47.00	95.32	94.22	30.27	3.65	2233.05
boeing	163.74	53.00	44.39	.	37.76	3.82	996.87
boeing	17.38	63.00	63.57	.	28.41	3.94	1032.46
boeing	212.94	61.00	29.23	.	23.35	4.40	1076.86
boeing	124.35	67.00	78.95	.	28.97	3.81	1480.57
boeing	205.87	62.00	114.00	110.66	34.44	3.87	3405.35
boeing	161.80	59.00	72.61	.	58.08	3.67	1698.18
boeing	125.23	58.00	99.17	96.93	36.69	4.23	2556.60
boeing	169.09	68.00	72.57	.	39.69	4.07	1457.76
boeing	153.79	58.00	109.54	109.38	12.99	3.99	3188.27
boeing	178.71	51.00	70.48	.	7.58	4.82	822.23
boeing	108.34	58.00	108.13	108.50	42.95	4.63	3545.25
boeing	130.42	52.00	71.68	.	9.69	3.76	975.34
boeing	183.26	69.00	81.58	.	27.69	3.75	1497.17
boeing	155.41	60.00	45.07	.	34.15	3.91	1196.46
boeing	76.90	68.00	67.61	.	44.06	3.83	1388.37
boeing	163.09	61.00	106.68	104.45	18.85	3.51	2850.71
boeing	146.20	48.00	55.43	.	21.79	4.75	777.34
boeing	151.88	57.00	91.51	90.50	17.09	3.67	1780.11
boeing	141.93	46.00	27.74	.	24.40	4.37	1323.72
boeing	124.24	66.00	82.63	.	18.26	4.29	1515.14
boeing	112.32	74.00	79.26	.	37.20	4.34	1158.84
boeing	135.03	61.00	84.89	.	15.02	5.93	1668.21
boeing	139.38	54.00	84.10	.	37.32	3.87	1853.96
boeing	158.79	66.00	56.01	.	36.60	4.11	1098.85
boeing	202.67	64.00	52.55	.	43.97	3.07	1208.50
boeing	241.95	69.00	64.97	.	28.50	4.07	1007.70
boeing	171.79	64.00	70.20	.	28.92	4.50	1197.82
boeing	131.75	61.00	105.06	107.44	25.44	5.31	3062.07
boeing	124.79	68.00	106.12	104.13	42.90	4.04	2924.84
boeing	99.16	59.00	93.25	93.47	25.76	4.42	2047.70
boeing	198.37	58.00	65.28	.	24.90	4.39	904.23
boeing	254.11	54.00	63.28	.	41.33	4.26	1183.92
boeing	150.30	60.00	95.82	96.55	27.40	4.12	2206.68
boeing	95.30	52.00	92.77	91.07	35.46	4.23	1960.40
boeing	147.20	56.00	88.71	.	40.95	4.13	1967.36
boeing	191.02	54.00	80.33	.	48.43	3.69	1809.46
boeing	213.78	73.00	57.43	.	48.87	4.18	1154.44
boeing	150.39	46.00	112.10	111.44	19.72	4.50	3479.13
boeing	223.40	59.00	42.80	.	34.55	5.29	851.96
boeing	96.71	51.00	56.65	.	26.54	4.22	1048.62
boeing	206.95	52.00	69.38	.	24.74	4.03	1005.12
boeing	194.00	51.00	84.84	.	23.30	4.96	1769.78
boeing	107.47	56.00	71.97	.	32.46	3.48	1249.73
boeing	185.80	55.00	65.00	.	48.28	4.66	1299.36
boeing	157.14	60.00	52.61	.	30.77	4.59	825.48
boeing	121.46	69.00	61.61	.	22.78	3.40	968.29
boeing	149.46	50.00	85.63	.	32.54	3.72	2046.07
boeing	120.35	62.00	76.97	.	12.35	4.81	1071.74
boeing	170.80	65.00	52.27	.	29.59	3.29	1057.71
boeing	209.11	58.00	124.57	125.99	40.10	4.65	5147.41
boeing	177.19	65.00	85.90	.	33.54	4.03	1710.86
boeing	126.26	58.00	72.60	.	21.22	3.88	971.07
boeing	175.15	69.00	55.38	.	54.28	4.65	1125.80
